n_particles,n_iterations,w,c1,c2,mean_fitness,std_fitness,all_fitnesses
50,30,0.7,2.0,1.0,0.926517571884984,1.1102230246251565e-16,"[0.9265175718849841, 0.9265175718849841, 0.9265175718849841]"
50,30,0.7,2.0,1.5,0.9511400651465798,0.0,"[0.9511400651465798, 0.9511400651465798, 0.9511400651465798]"
50,30,0.7,2.0,2.0,0.930379746835443,0.0,"[0.930379746835443, 0.930379746835443, 0.930379746835443]"
50,30,0.9,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
50,30,0.9,1.0,1.5,0.9182389937106917,1.1102230246251565e-16,"[0.9182389937106918, 0.9182389937106918, 0.9182389937106918]"
50,30,0.9,1.0,2.0,0.9196141479099679,0.0,"[0.9196141479099679, 0.9196141479099679, 0.9196141479099679]"
50,30,0.9,1.5,1.0,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
50,30,0.9,1.5,1.5,0.9329073482428115,0.0,"[0.9329073482428115, 0.9329073482428115, 0.9329073482428115]"
50,30,0.9,1.5,2.0,0.9636963696369637,0.0,"[0.9636963696369637, 0.9636963696369637, 0.9636963696369637]"
50,30,0.9,2.0,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
50,30,0.9,2.0,1.5,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,30,0.9,2.0,2.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
50,50,0.5,1.0,1.0,0.930379746835443,0.0,"[0.930379746835443, 0.930379746835443, 0.930379746835443]"
50,50,0.5,1.0,1.5,0.9130434782608695,0.0,"[0.9130434782608695, 0.9130434782608695, 0.9130434782608695]"
50,50,0.5,1.0,2.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
50,50,0.5,1.5,1.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,50,0.5,1.5,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
50,50,0.5,1.5,2.0,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
50,50,0.5,2.0,1.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
50,50,0.5,2.0,1.5,0.9686411149825784,0.0,"[0.9686411149825784, 0.9686411149825784, 0.9686411149825784]"
50,50,0.5,2.0,2.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,50,0.7,1.0,1.0,0.9389067524115756,0.0,"[0.9389067524115756, 0.9389067524115756, 0.9389067524115756]"
50,50,0.7,1.0,1.5,0.9607843137254902,0.0,"[0.9607843137254902, 0.9607843137254902, 0.9607843137254902]"
50,50,0.7,1.0,2.0,0.929936305732484,1.1102230246251565e-16,"[0.9299363057324841, 0.9299363057324841, 0.9299363057324841]"
50,50,0.7,1.5,1.0,0.9187499999999998,1.1102230246251565e-16,"[0.91875, 0.91875, 0.91875]"
50,50,0.7,1.5,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
50,50,0.7,1.5,2.0,0.9449838187702265,0.0,"[0.9449838187702265, 0.9449838187702265, 0.9449838187702265]"
