initialization,selection,crossover,mutation,pop_size,n_generations,mutation_rate,crossover_rate,elitism,mean_fitness,std_fitness,all_fitnesses
xavier_initialization,roulette_selection,arithmetic_crossover,uniform_mutation,100,200,0.1,0.9,2,0.9242894673990925,0.0002388344877000126,"[0.9245283018867925, 0.9240506329113924]"
xavier_initialization,roulette_selection,arithmetic_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.9259865484197369,0.0014582465329444627,"[0.9245283018867925, 0.9274447949526814]"
xavier_initialization,roulette_selection,blend_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9250839523761067,0.003948305688409481,"[0.9290322580645162, 0.9211356466876972]"
xavier_initialization,roulette_selection,blend_crossover,uniform_mutation,100,200,0.1,0.9,2,0.9228403634776399,0.001210269433752631,"[0.9216300940438872, 0.9240506329113924]"
xavier_initialization,roulette_selection,blend_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.9281164229240916,0.0103949039367498,"[0.9177215189873418, 0.9385113268608414]"
xavier_initialization,tournament_selection,arithmetic_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764]"
xavier_initialization,tournament_selection,arithmetic_crossover,uniform_mutation,100,200,0.1,0.9,2,0.936968823738228,0.0023283008624109813,"[0.934640522875817, 0.939297124600639]"
xavier_initialization,tournament_selection,arithmetic_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.9370053252584316,0.0006995927743552177,"[0.9363057324840764, 0.9377049180327869]"
xavier_initialization,tournament_selection,blend_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.9256129421221865,0.006862942122186522,"[0.932475884244373, 0.91875]"
xavier_initialization,tournament_selection,blend_crossover,uniform_mutation,100,200,0.1,0.9,2,0.926728334956183,0.003651411879259936,"[0.9230769230769231, 0.930379746835443]"
xavier_initialization,tournament_selection,blend_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.9275278662420382,0.008777866242038246,"[0.91875, 0.9363057324840764]"
xavier_initialization,rank_selection,arithmetic_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.898096083653941,0.005129722797671876,"[0.9032258064516129, 0.8929663608562691]"
xavier_initialization,rank_selection,arithmetic_crossover,uniform_mutation,100,200,0.1,0.9,2,0.8847352024922118,0.0,"[0.8847352024922118, 0.8847352024922118]"
xavier_initialization,rank_selection,arithmetic_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.8933067404404984,0.011151858285616267,"[0.9044585987261147, 0.8821548821548821]"
xavier_initialization,rank_selection,blend_crossover,gaussian_mutation,100,200,0.1,0.9,2,0.8851190476190476,0.010119047619047639,"[0.875, 0.8952380952380953]"
xavier_initialization,rank_selection,blend_crossover,uniform_mutation,100,200,0.1,0.9,2,0.8879121501680705,0.002369981493371587,"[0.8855421686746988, 0.890282131661442]"
xavier_initialization,rank_selection,blend_crossover,non_uniform_mutation,100,200,0.1,0.9,2,0.8896015943963933,0.01382519688086531,"[0.8757763975155279, 0.9034267912772586]"
